State,County,FIPSCodes,Diabetes,LeisureInactivity,Obesity
Georgia,Monroe,13141,12.9,26.9,34.3
Georgia,Montgomery,13143,14,30.1,36.2
Georgia,Morgan,13145,13.4,27.3,31
Georgia,Murray,13147,11.4,31.7,28.2
Georgia,Muscogee,13149,13,28.3,36.2
Georgia,Newton,13151,11.2,25.5,33.5
Georgia,Oconee,13153,9.6,21.7,29.1
Georgia,Oglethorpe,13155,12.6,25.8,29.4
Georgia,Paulding,13157,11.9,24.3,26.8
Georgia,Peach,13159,12.4,27.4,34.8
Georgia,Pickens,13161,12.5,22.6,27.1
Georgia,Pierce,13163,12.4,31.6,30.8
Georgia,Pike,13165,12,30,30.7
Georgia,Polk,13167,12.9,31,28.3
Georgia,Pulaski,13169,13.7,31.4,31.9
Georgia,Putnam,13171,13.6,24.3,31.7
Georgia,Quitman,13173,17.1,30.1,31.2
Georgia,Rabun,13175,13.5,25.1,30.5
Georgia,Randolph,13177,16.8,34.3,36.5
Georgia,Richmond,13179,11.6,27.7,33.2
Georgia,Rockdale,13181,12.9,28.9,32.7
Georgia,Schley,13183,12.8,26.7,29.6
Georgia,Screven,13185,13.4,32.9,34.1
Georgia,Seminole,13187,14,31.7,29.6
Georgia,Spalding,13189,13.5,27.1,35.5
Georgia,Stephens,13191,14.1,29.4,30.2
Georgia,Stewart,13193,13.1,28.9,32.8
Georgia,Sumter,13195,12.4,28.8,35
Georgia,Talbot,13197,17,30.4,33.8
Georgia,Taliaferro,13199,15.7,30.9,35
Georgia,Tattnall,13201,10.2,32.1,35.2
Georgia,Taylor,13205,13.5,31.2,32.6
Georgia,Telfair,13207,12.1,31.6,30
Georgia,Terrell,13209,15,29.5,35.4
Georgia,Thomas,13211,14.7,26.3,31
Georgia,Tift,13213,13.2,29.5,32.3
Georgia,Toombs,13215,13.9,29.8,33.2
Georgia,Towns,13217,13.9,25.6,27
Georgia,Treutlen,13219,11.9,31.1,34.2
Georgia,Troup,13221,12.9,29.5,29.9
Georgia,Turner,13223,13,33.1,34.3
Georgia,Twiggs,13225,15.5,30.8,31.4
Georgia,Union,13227,14.3,26.3,25.2
Georgia,Upson,13229,13,29.2,32.4
Georgia,Walker,13231,13.5,32.1,33.4
Georgia,Walton,13233,11.8,26.3,30
Georgia,Ware,13235,13.6,30.9,34.3
Georgia,Warren,13237,14.9,31.6,35.2
Georgia,Washington,13239,14.3,28.5,35.3
Georgia,Wayne,13241,12.4,29.6,32.4
Georgia,Webster,13243,13.8,29.6,31.5
Georgia,Wheeler,13245,10.8,30.5,32.7
Georgia,White,13247,11.3,24.3,27.5
Georgia,Whitfield,13249,11,32.8,28.8
Georgia,Wilcox,13251,11,27.7,32.9
Georgia,Wilkes,13253,16.1,29.7,33.7
Georgia,Wilkinson,13255,14.2,29,34
Georgia,Worth,13257,13.2,28.9,34.2
Idaho,Ada,13269,7.6,15.4,24.4
Idaho,Adams,13271,12.1,23,28.5
Idaho,Bannock,13273,10,19.8,29
Idaho,Bearlake,13275,9.2,26.7,28.5
Idaho,Benewah,13277,12.3,23.7,27.3
Idaho,Bingham,13279,12.2,23.4,34.7
Idaho,Blaine,13281,5.9,14.4,18.7
Idaho,Boise,13283,9.9,21.5,24.4
Idaho,Bonner,13285,9.1,22,24
Idaho,Bonneville,13287,8.7,18.9,29.5
Idaho,Boundary,13289,9.1,21.9,25.1
Idaho,Butte,13291,10.4,22.3,31.8
Idaho,Camas,13293,9.1,19,27.4
